connection_id,app_id,app_name,owner,department,environment,data_sensitivity,business_critical,iam_product_id,product_name,type,connection_status,last_reviewed,reviewed_by,days_since_review,is_stale,risk_range
CONN0031,APP007,Payroll System,hr.payroll@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-09-29,hr.payroll@cmacgm.com,161.0,False,HIGH
CONN0032,APP007,Payroll System,hr.payroll@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-01-13,UNKNOWN,55.0,False,HIGH
CONN0033,APP007,Payroll System,hr.payroll@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-12-22,hr.payroll@cmacgm.com,77.0,False,HIGH
CONN0034,APP008,Treasury Management System,treasury@cmacgm.com,Finance,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-01-25,treasury@cmacgm.com,43.0,False,HIGH
CONN0035,APP008,Treasury Management System,treasury@cmacgm.com,Finance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-12-17,UNKNOWN,82.0,False,HIGH
CONN0036,APP008,Treasury Management System,treasury@cmacgm.com,Finance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-10-27,treasury@cmacgm.com,133.0,False,HIGH
CONN0037,APP008,Treasury Management System,treasury@cmacgm.com,Finance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-09-28,treasury@cmacgm.com,162.0,False,HIGH
CONN0038,APP008,Treasury Management System,treasury@cmacgm.com,Finance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-11-22,treasury@cmacgm.com,107.0,False,HIGH
CONN0039,APP009,Legal Document Management,legal@cmacgm.com,Legal,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2024-12-11,legal@cmacgm.com,453.0,True,HIGH
CONN0040,APP009,Legal Document Management,legal@cmacgm.com,Legal,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-09-29,legal@cmacgm.com,161.0,False,HIGH
CONN0041,APP009,Legal Document Management,legal@cmacgm.com,Legal,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-09-23,legal@cmacgm.com,167.0,False,HIGH
CONN0042,APP009,Legal Document Management,legal@cmacgm.com,Legal,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-01-22,legal@cmacgm.com,46.0,False,HIGH
CONN0043,APP010,Email Gateway,it.admin@cmacgm.com,IT,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-23,it.admin@cmacgm.com,137.0,False,HIGH
CONN0044,APP010,Email Gateway,it.admin@cmacgm.com,IT,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-02-25,it.admin@cmacgm.com,12.0,False,HIGH
CONN0045,APP010,Email Gateway,it.admin@cmacgm.com,IT,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2024-04-06,it.admin@cmacgm.com,702.0,True,HIGH
CONN0046,APP010,Email Gateway,it.admin@cmacgm.com,IT,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-11-20,it.admin@cmacgm.com,109.0,False,HIGH
CONN0047,APP011,VPN & Remote Access Gateway,it.security@cmacgm.com,IT,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-01-31,it.security@cmacgm.com,37.0,False,HIGH
CONN0048,APP011,VPN & Remote Access Gateway,it.security@cmacgm.com,IT,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2024-02-04,it.security@cmacgm.com,764.0,True,HIGH
CONN0049,APP011,VPN & Remote Access Gateway,it.security@cmacgm.com,IT,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-08-03,it.security@cmacgm.com,218.0,True,HIGH
CONN0050,APP011,VPN & Remote Access Gateway,it.security@cmacgm.com,IT,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,UNDOCUMENTED,,UNKNOWN,,False,HIGH
CONN0051,APP011,VPN & Remote Access Gateway,it.security@cmacgm.com,IT,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,PENDING,,UNKNOWN,,False,HIGH
CONN0052,APP012,Active Directory,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-02-08,it.iam@cmacgm.com,29.0,False,HIGH
CONN0053,APP012,Active Directory,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2026-02-13,it.iam@cmacgm.com,24.0,False,HIGH
CONN0054,APP012,Active Directory,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-01-23,it.iam@cmacgm.com,45.0,False,HIGH
CONN0055,APP012,Active Directory,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-11-11,it.iam@cmacgm.com,118.0,False,HIGH
CONN0056,APP012,Active Directory,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-11-29,it.iam@cmacgm.com,100.0,False,HIGH
CONN0057,APP013,Azure AD,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-05-07,it.iam@cmacgm.com,306.0,True,HIGH
CONN0058,APP013,Azure AD,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2024-03-11,it.iam@cmacgm.com,728.0,True,HIGH
CONN0059,APP013,Azure AD,it.iam@cmacgm.com,IT,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-07-11,it.iam@cmacgm.com,241.0,True,HIGH
CONN0060,APP014,CEVA Logistics TMS,logistics.ops@cmacgm.com,Logistics,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-30,logistics.ops@cmacgm.com,130.0,False,HIGH
CONN0061,APP014,CEVA Logistics TMS,logistics.ops@cmacgm.com,Logistics,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2026-01-14,logistics.ops@cmacgm.com,54.0,False,HIGH
CONN0062,APP014,CEVA Logistics TMS,logistics.ops@cmacgm.com,Logistics,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-06-14,logistics.ops@cmacgm.com,268.0,True,HIGH
CONN0063,APP014,CEVA Logistics TMS,logistics.ops@cmacgm.com,Logistics,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2026-01-06,logistics.ops@cmacgm.com,62.0,False,HIGH
CONN0064,APP015,Air Cargo Booking System,aircargo@cmacgm.com,Air Cargo,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-25,aircargo@cmacgm.com,135.0,False,HIGH
CONN0065,APP015,Air Cargo Booking System,aircargo@cmacgm.com,Air Cargo,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-12-11,aircargo@cmacgm.com,88.0,False,HIGH
CONN0066,APP015,Air Cargo Booking System,aircargo@cmacgm.com,Air Cargo,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-12-04,aircargo@cmacgm.com,95.0,False,HIGH
CONN0067,APP015,Air Cargo Booking System,aircargo@cmacgm.com,Air Cargo,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,PENDING,,UNKNOWN,,False,HIGH
CONN0068,APP015,Air Cargo Booking System,aircargo@cmacgm.com,Air Cargo,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-11-05,aircargo@cmacgm.com,124.0,False,HIGH
CONN0069,APP016,Container Tracking API,api.team@cmacgm.com,IT,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-26,api.team@cmacgm.com,134.0,False,HIGH
CONN0070,APP016,Container Tracking API,api.team@cmacgm.com,IT,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-11-13,api.team@cmacgm.com,116.0,False,HIGH
CONN0071,APP016,Container Tracking API,api.team@cmacgm.com,IT,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-12-22,api.team@cmacgm.com,77.0,False,HIGH
CONN0072,APP016,Container Tracking API,api.team@cmacgm.com,IT,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-11-29,api.team@cmacgm.com,100.0,False,HIGH
CONN0073,APP017,Customs Clearance Platform,customs@cmacgm.com,Compliance,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-02-17,customs@cmacgm.com,20.0,False,HIGH
CONN0074,APP017,Customs Clearance Platform,customs@cmacgm.com,Compliance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2026-01-10,customs@cmacgm.com,58.0,False,HIGH
CONN0075,APP017,Customs Clearance Platform,customs@cmacgm.com,Compliance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-10-07,UNKNOWN,153.0,False,HIGH
CONN0076,APP017,Customs Clearance Platform,customs@cmacgm.com,Compliance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-02-20,customs@cmacgm.com,17.0,False,HIGH
CONN0077,APP017,Customs Clearance Platform,customs@cmacgm.com,Compliance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2026-01-22,customs@cmacgm.com,46.0,False,HIGH
CONN0078,APP018,Trade Finance Platform,tradefinance@cmacgm.com,Finance,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-14,tradefinance@cmacgm.com,146.0,False,HIGH
CONN0079,APP018,Trade Finance Platform,tradefinance@cmacgm.com,Finance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-11-21,tradefinance@cmacgm.com,108.0,False,HIGH
CONN0080,APP018,Trade Finance Platform,tradefinance@cmacgm.com,Finance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2026-01-23,tradefinance@cmacgm.com,45.0,False,HIGH
CONN0081,APP019,Risk Management System,risk@cmacgm.com,Compliance,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2024-06-03,risk@cmacgm.com,644.0,True,HIGH
CONN0082,APP019,Risk Management System,risk@cmacgm.com,Compliance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-10-03,risk@cmacgm.com,157.0,False,HIGH
CONN0083,APP019,Risk Management System,risk@cmacgm.com,Compliance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-12-28,risk@cmacgm.com,71.0,False,HIGH
CONN0084,APP019,Risk Management System,risk@cmacgm.com,Compliance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-06-02,risk@cmacgm.com,280.0,True,HIGH
CONN0085,APP019,Risk Management System,risk@cmacgm.com,Compliance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,PENDING,,UNKNOWN,,False,HIGH
CONN0086,APP020,Procurement Platform,procurement@cmacgm.com,Finance,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-02-22,procurement@cmacgm.com,15.0,False,HIGH
CONN0087,APP020,Procurement Platform,procurement@cmacgm.com,Finance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-11-09,procurement@cmacgm.com,120.0,False,HIGH
CONN0088,APP020,Procurement Platform,procurement@cmacgm.com,Finance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-01-02,procurement@cmacgm.com,66.0,False,HIGH
CONN0089,APP020,Procurement Platform,procurement@cmacgm.com,Finance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-01-05,procurement@cmacgm.com,63.0,False,HIGH
CONN0090,APP020,Procurement Platform,procurement@cmacgm.com,Finance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-12-06,procurement@cmacgm.com,93.0,False,HIGH
CONN0091,APP021,Fleet Maintenance System,fleet.maintenance@cmacgm.com,Operations,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-11-06,fleet.maintenance@cmacgm.com,123.0,False,HIGH
CONN0092,APP021,Fleet Maintenance System,fleet.maintenance@cmacgm.com,Operations,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-11-10,fleet.maintenance@cmacgm.com,119.0,False,HIGH
CONN0093,APP021,Fleet Maintenance System,fleet.maintenance@cmacgm.com,Operations,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-12-26,fleet.maintenance@cmacgm.com,73.0,False,HIGH
CONN0094,APP021,Fleet Maintenance System,fleet.maintenance@cmacgm.com,Operations,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-02-02,fleet.maintenance@cmacgm.com,35.0,False,HIGH
CONN0095,APP021,Fleet Maintenance System,fleet.maintenance@cmacgm.com,Operations,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-10-10,fleet.maintenance@cmacgm.com,150.0,False,HIGH
CONN0096,APP022,Crew Management System,crew.mgmt@cmacgm.com,Operations,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-01-28,crew.mgmt@cmacgm.com,40.0,False,HIGH
CONN0097,APP022,Crew Management System,crew.mgmt@cmacgm.com,Operations,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-05-17,crew.mgmt@cmacgm.com,296.0,True,HIGH
CONN0098,APP022,Crew Management System,crew.mgmt@cmacgm.com,Operations,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,PENDING,,UNKNOWN,,False,HIGH
CONN0099,APP022,Crew Management System,crew.mgmt@cmacgm.com,Operations,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-09-22,crew.mgmt@cmacgm.com,168.0,False,HIGH
CONN0100,APP022,Crew Management System,crew.mgmt@cmacgm.com,Operations,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-12-31,crew.mgmt@cmacgm.com,68.0,False,HIGH
CONN0101,APP023,Port Agency Management,port.agency@cmacgm.com,Operations,Production,MEDIUM,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-10-02,port.agency@cmacgm.com,158.0,False,MEDIUM
CONN0102,APP023,Port Agency Management,port.agency@cmacgm.com,Operations,Production,MEDIUM,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-11-19,port.agency@cmacgm.com,110.0,False,MEDIUM
CONN0103,APP024,Dangerous Goods Management,hse@cmacgm.com,HSE,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-10,hse@cmacgm.com,150.0,False,HIGH
CONN0104,APP024,Dangerous Goods Management,hse@cmacgm.com,HSE,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2026-02-21,hse@cmacgm.com,16.0,False,HIGH
CONN0105,APP024,Dangerous Goods Management,hse@cmacgm.com,HSE,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-02-02,hse@cmacgm.com,35.0,False,HIGH
CONN0106,APP024,Dangerous Goods Management,hse@cmacgm.com,HSE,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-01-24,hse@cmacgm.com,44.0,False,HIGH
CONN0107,APP024,Dangerous Goods Management,hse@cmacgm.com,HSE,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-10-28,hse@cmacgm.com,132.0,False,HIGH
CONN0108,APP025,Invoice Processing System,finance.ops@cmacgm.com,Finance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-11-23,finance.ops@cmacgm.com,106.0,False,HIGH
CONN0109,APP025,Invoice Processing System,finance.ops@cmacgm.com,Finance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-03-04,finance.ops@cmacgm.com,370.0,True,HIGH
CONN0110,APP025,Invoice Processing System,finance.ops@cmacgm.com,Finance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-10-26,UNKNOWN,134.0,False,HIGH
CONN0111,APP025,Invoice Processing System,finance.ops@cmacgm.com,Finance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-12-26,finance.ops@cmacgm.com,73.0,False,HIGH
CONN0112,APP026,CRM Salesforce,sales@cmacgm.com,Commercial,Production,MEDIUM,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-12-31,sales@cmacgm.com,68.0,False,MEDIUM
CONN0113,APP026,CRM Salesforce,sales@cmacgm.com,Commercial,Production,MEDIUM,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-07-13,sales@cmacgm.com,239.0,True,MEDIUM
CONN0114,APP027,Marketing Automation,marketing@cmacgm.com,Commercial,Production,MEDIUM,No,IAM001,Azure Active Directory,Identity Provider,Active,2025-11-14,marketing@cmacgm.com,115.0,False,MEDIUM
CONN0115,APP027,Marketing Automation,marketing@cmacgm.com,Commercial,Production,MEDIUM,No,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-10-08,marketing@cmacgm.com,152.0,False,MEDIUM
CONN0116,APP027,Marketing Automation,marketing@cmacgm.com,Commercial,Production,MEDIUM,No,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-05-31,marketing@cmacgm.com,282.0,True,MEDIUM
CONN0117,APP028,Business Intelligence Platform,bi.team@cmacgm.com,IT,Production,MEDIUM,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-02-04,bi.team@cmacgm.com,33.0,False,MEDIUM
CONN0118,APP028,Business Intelligence Platform,bi.team@cmacgm.com,IT,Production,MEDIUM,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-01-27,bi.team@cmacgm.com,41.0,False,MEDIUM
CONN0119,APP028,Business Intelligence Platform,bi.team@cmacgm.com,IT,Production,MEDIUM,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2024-06-28,bi.team@cmacgm.com,619.0,True,MEDIUM
CONN0120,APP029,Data Warehouse,data.platform@cmacgm.com,IT,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2026-01-03,data.platform@cmacgm.com,65.0,False,HIGH
CONN0121,APP029,Data Warehouse,data.platform@cmacgm.com,IT,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2026-01-15,data.platform@cmacgm.com,53.0,False,HIGH
CONN0122,APP029,Data Warehouse,data.platform@cmacgm.com,IT,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-01-03,data.platform@cmacgm.com,65.0,False,HIGH
CONN0123,APP029,Data Warehouse,data.platform@cmacgm.com,IT,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-02-17,data.platform@cmacgm.com,20.0,False,HIGH
CONN0124,APP029,Data Warehouse,data.platform@cmacgm.com,IT,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2026-01-23,data.platform@cmacgm.com,45.0,False,HIGH
CONN0125,APP030,Compliance Reporting Tool,compliance@cmacgm.com,Compliance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-12-28,compliance@cmacgm.com,71.0,False,HIGH
CONN0126,APP030,Compliance Reporting Tool,compliance@cmacgm.com,Compliance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-09-25,compliance@cmacgm.com,165.0,False,HIGH
CONN0127,APP030,Compliance Reporting Tool,compliance@cmacgm.com,Compliance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2024-05-05,compliance@cmacgm.com,673.0,True,HIGH
CONN0128,APP030,Compliance Reporting Tool,compliance@cmacgm.com,Compliance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-10-06,compliance@cmacgm.com,154.0,False,HIGH
CONN0129,APP031,Internal Intranet,comms@cmacgm.com,Communications,Production,MEDIUM,No,IAM001,Azure Active Directory,Identity Provider,Active,2025-12-04,comms@cmacgm.com,95.0,False,MEDIUM
CONN0130,APP031,Internal Intranet,comms@cmacgm.com,Communications,Production,MEDIUM,No,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-09-22,comms@cmacgm.com,168.0,False,MEDIUM
